country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
United States of America,"Pretty, pale and poised, this offers light pear flavors with a touch of cinnamon. Snappy acidity and a clean, fresh finish all contribute.",,88,12,Oregon,Willamette Valley,Chateau Bianca 2014 Pinot Gris (Willamette Valley),Pinot Gris,Château Bianca,2014,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,23,12.5,750,White,not_imported
Italy,"Aromas of violet, dark-skinned berry and baking spice are the highlights. On the bright, juicy palate, soft velvety tannins frame mature black cherry, blackberry and a hint of cocoa.",Turmhof,89,20,Northeastern Italy,Alto Adige,Tiefenbrunner 2013 Turmhof Lagrein (Alto Adige),Lagrein,Tiefenbrunner,2013,"Alto Adige,Northeastern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,46.655969,11.229644,1499,29,13.5,750,Red,Leonardo LoCascio Selections-The Winebow Group
Australia,"Matured in used French barriques, this nevertheless shows touches of toast and cedar alongside tart, fruit notes of cranberry and raspberry. It's full bodied and richly tannic, with crisp acids that accentuate the tannins on the finish. Drink 2020–2030.",Old Vine,88,32,South Australia,McLaren Vale,Yangarra Estate Vineyard 2013 Old Vine Grenache (McLaren Vale),Grenache,Yangarra Estate Vineyard,2013,"McLaren Vale,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-35.217262,138.5417,62,39,14.5,750,Red,Majestic Imports
United States of America,"This wine become pretty pricey but that's because consumers recognize its quality; its sheer deliciousness can't be beat. It has all the elements of fine Russian River Pinot—it's dry and has lots o f ripe fruit, pretty oak, toast and spice—and it puts them all together in a super-elegant package. The vintage is light but the wine doesn't seem to mind. Its class shows. `",Thomas Road Vineyard,90,50,California,Sonoma County,Iron Horse 1998 Thomas Road Vineyard Pinot Noir (Sonoma County),Pinot Noir,Iron Horse,1998,"Sonoma County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.51108,-122.847339,27,65,14.9,750,Red,not_imported
United States of America,"This dark-colored and smooth-textured wine has classic aromas and flavors like black cherry, black olive and bell pepper along with medium body.",,86,18,California,North Coast,William Hill Estate 2014 Cabernet Sauvignon (North Coast),Cabernet Sauvignon,William Hill Estate,2014,"North Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,31.079151,29.73636,6,22,13.9,750,Red,not_imported
United States of America,"Superrich and ripe, flooding the mouth with jammy flavors of raspberries, cherries, anise and pepper. A soft, rather simple wine whose lack of complexity is compensated by sheer deliciousness.",Flood Family Vineyards,87,25,California,Santa Barbara County,Rancho Sisquoc 2007 Flood Family Vineyards Syrah (Santa Barbara County),Syrah,Rancho Sisquoc,2007,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,34.713653,-119.985823,934,29,15,750,Red,not_imported
Austria,"The sun-ripened skin of yellow mirabelle plums and their ripe flesh suggest both texture and fruitiness. This burgeons with gloriously ripe fruit, which attains an apricot touch on the palate, but is held firmly and with beautiful poise by lemon zestiness and citrus freshness. A wonderful combination of generosity and tang with lovely concentration, brilliant fruit and a long finish.",Pfeningberg Reserve,94,42,Kremstal,,Proidl 2015 Pfeningberg Reserve Riesling (Kremstal),Riesling,Proidl,2015,"Kremstal,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.276912,14.276361,265,60,13.5,750,White,Soilair Selection
United States of America,"There's a surprising element of power to this Pinot Noir. Intense in dark cherry cola, clove and nutmeg, it offers a pronounced finish of wintery cardamom and caramel. The body is medium weight and the tannins smooth and silky.",Quail Hill Vineyard,93,60,California,Russian River Valley,Lynmar 2012 Quail Hill Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Lynmar,2012,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,39,14.4,750,Red,not_imported
United States of America,"This is a reserve level Tempranillo—the third ever bottling produced by the winery. Packed with cassis and black cherry fruit, it also delivers intense smoke, charred wood and espresso scents and flavors. It's a powerful wine, with further notes of spice and graphite, finishing tongue-scrapingly dry and ready for a juicy steak.",Paramour,92,100,Oregon,Umpqua Valley,Abacela 2013 Paramour Tempranillo (Umpqua Valley),Tempranillo,Abacela,2013,"Umpqua Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,43.36547,-123.468541,107,52,14.2,750,Red,not_imported
United States of America,"There are loads of fresh floral and red spice notes on the nose of this blend of 60% Grenache and 40% Syrah: hibiscus, cinnamon, dried cherry and baking spice. The palate leads with a touch of maple syrup, filling out with red berry, savory smoke and thyme flavors, underpinned by upright tannins and refreshing acidity.",Pas de Deux,93,45,California,Adelaida District,kukkula 2013 Pas de Deux Red (Adelaida District),Rhône-style Red Blend,kukkula,2013,"Adelaida District,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,55,14.9,750,Red,not_imported
France,"This white wine seems to channel the stony soils of Châteauneuf-du-Pape, displaying aromas of crushed stone and melon. That's backed up by ample weight and more stoniness on the palate and a long, mouthwatering finish featuring hints of ginger and white pepper.",Château de Beaucastel,91,108,Rhône Valley,Châteauneuf-du-Pape,Famille Perrin 2013 Chateau de Beaucastel White (Chateauneuf-du-Pape),Rhône-style White Blend,Famille Perrin,2013,"Châteauneuf-du-Pape,Rhône Valley,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,44.055334,4.831289,67,42,13.5,750,White,Vineyard Brands
Portugal,"Forgoing wood aging, this wine is attractively fruity and crisp. Ripe apple and pear flavors fill out its frame of lemon fruit and bright acidity. Pineapple and white peach notes complete the picture. Drink now.",Colheita Seleccionada,88,15,Alentejano,,Herdade Grande 2015 Colheita Seleccionada White (Alentejano),Portuguese White,Herdade Grande,2015,"Alentejano,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,35,14,750,White,"M Imports, LLC"
United States of America,"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",,86,22,Oregon,Willamette Valley,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars,2009,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,28,13.6,750,Red,not_imported
United States of America,"This wine hails from a new vineyard region high above famed Seven Hills. Baking spice, cocoa and herb aromas are followed by focused black-fruit flavors, with espresso and vanilla notes that linger. It captures the attention.",XL Vineyard,91,30,Washington,Walla Walla Valley (WA),Bridge Press 2013 XL Vineyard Cabernet Franc (Walla Walla Valley (WA)),Cabernet Franc,Bridge Press,2013,"Walla Walla Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.065038,-118.330248,300,36,14,750,Red,not_imported
United States of America,"Easily the best MacMurray Ranch Pinot Noir ever. Shows impressive depth and complexity, with rich flavors of cherries, red currants, cola, pomegranates, persimmons and smoky sandalwood, finished with tangy Asian spices. Tastes a bit jammy, suggesting a few years in the bottle.",Winemaker's Block Selection,92,60,California,Russian River Valley,MacMurray Ranch 2007 Winemaker's Block Selection Pinot Noir (Russian River Valley),Pinot Noir,MacMurray Ranch,2007,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,42,14.6,750,Red,not_imported
United States of America,"Rich but lively and dry, this wine packs a potpourri of spices and citrus fruits in its aromas and flavors, carrying them through to a lingering finish. Substantial and appetizing as an apéritif and excellent with seafood.",,91,20,California,Anderson Valley,Navarro 2012 Pinot Gris (Anderson Valley),Pinot Gris,Navarro,2012,"Anderson Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,40.448208,-122.297781,133,37,13.7,750,White,not_imported
Israel,"This dark and attractive Shiraz shows excellent balance and a satiny texture. Notes of brambly raspberry and cherry mingle with seductive hints of sweet smoke, game and pepper. Hints of spicy mocha and forest berry linger on the finish. Approachable now, but should hold well and develop additional complexities through 2016.",Kayoumi Single Vineyard,91,33,Galilee,,Carmel 2009 Kayoumi Single Vineyard Shiraz (Galilee),Shiraz,Carmel,2009,"Galilee,Israel",18.65109155,19.11475057,6.757547433,11.89768225,25.76222935,8.83179151,32.603212,35.444796,98,51,15,750,Red,Royal Wine Corporation
Italy,"Here's a neutral-smelling blend of Fiano and Biancolella with subtle mineral shadings backed by white peach and light fruit. It has a crisp, easy feel and is a great summer sipper for easy cocktails with friends.",Pithecusa,86,24,Southern Italy,Ischia,Tommasone 2007 Pithecusa White (Ischia),White Blend,Tommasone,2007,"Ischia,Southern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,40.726882,13.909547,507,36,12.5,750,White,VinUS Inc
United States of America,"From vines planted in 1959 on old rootstock, this is an intensely concentrated wine, dense and meaty, with flavors of bouillon, cedar, leather and clove. Lengthy and complex, it offers structure and balance within ripe black fruit seasoned by peppercorn.",Old Vine Estate Grown,92,185,California,Yountville,Grgich Hills 2012 Old Vine Estate Grown Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Grgich Hills,2012,"Yountville,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.395445,-122.360173,28,40,14.6,750,Red,not_imported
United States of America,"It's easy to like this vibrant Chardonnay for its generous fruit flavors, subtle oak influence  and creamy texture. It smells like a fruit tart and tastes fresh and rich at the same time. The ripe fruit flavors grow on the finish.",,87,10,California,California,Belle Ambiance 2012 Chardonnay (California),Chardonnay,Belle Ambiance,2012,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,42,13.5,750,White,not_imported
United States of America,"This kitchen sink-style blend has aromas of baking spice, dark plum and herb. It drinks off dry, with smooth currant and plum flavors that linger.",House Wine,85,10,America,,Original House Wine 2013 House Wine Red (America),Red Blend,Original House Wine,2013,"America,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,42.019366,-73.909723,47,25,13,750,Red,not_imported
United States of America,"A blend of Pinot Blanc and four other white grapes, this pleasant and fruity wine offers simple enjoyment. Peach, pink-grapefruit, straw and cracker flavors show on the palate and lead to a dry finish.",Vin de Days Blanc,88,18,Oregon,Willamette Valley,Day 2016 Vin de Days Blanc White (Willamette Valley),White Blend,Day,2016,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,34,12,750,White,not_imported
United States of America,"This is a very big, rich, extracted Pinot. While it's undeniably delicious, it's so stuffed with cherry-pie filling, black raspberry, mocha and cola flavors, it lacks subtlety, especially at this price. Give it a good, long decant and drink now.",Estines Vineyard,89,42,California,Russian River Valley,Hawley 2010 Estines Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Hawley,2010,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,40,14.3,750,Red,not_imported
Argentina,"Baked, earthy, reedy aromas yield to a narrow, tannic, awkward body. Sweet, green flavors are candied and flat. Time has passed this by.",Don Giaroli,81,14,Mendoza Province,Mendoza,Hollen Family Vineyards 2008 Don Giaroli Syrah (Mendoza),Syrah,Hollen Family Vineyards,2008,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,23,14.7,750,Red,Family Wine Imports
United States of America,"This bottling from the historic vineyard boasts a balanced, smoky quality on the nose that pairs well with its sharper white flower and salted nut aromas. Its acidity and tongue-tingling texture on the palate is addictive, revealing ripe Gala apple flavors backed by lemon juice, sea salt, oak and wet stone notes.",Bien Nacido Vineyard,93,40,California,Santa Barbara County,Fess Parker 2015 Bien Nacido Vineyard Chardonnay (Santa Barbara County),Chardonnay,Fess Parker,2015,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,34.713653,-119.985823,934,52,14.1,750,White,not_imported
United States of America,"Saitone is a supremely historic vineyard, planted originally in 1895 in the thick of the Russian River Valley's Olivet Bench, a coveted spot these days for Pinot Noir. The wine offers supple, soft tannins around a juicy intensity of grenadine and berry crumble. The structured backbone of minerality is remarkable.",Saitone Vineyard Olivet Bench,92,45,California,Russian River Valley,De Loach 2012 Saitone Vineyard Olivet Bench Zinfandel (Russian River Valley),Zinfandel,De Loach,2012,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,50,15.5,750,Red,not_imported
